episode,win_rate_overall,epsilon,reward,q_value,ro28_points,loss,reward_smooth,q_value_smooth,ro28_points_smooth,loss_smooth,AAP_winrate,ACP_winrate,DAP_winrate,DCP_winrate,RP_winrate,R28P_winrate,SR28P_winrate
1,0,1,-7.6875,0,14.42857143,0,-7.6875,0,14.42857143,0,0,0,0,0,0,0,0
2,0,0.9995,2.4375,0,14.91304348,474.8405151,-2.625,0,14.67080745,237.4202576,0,0,0,0,0,0,0
3,0,0.99900025,0.386363636,0,12.0952381,140.363739,-1.621212121,0,13.81228433,205.0680847,0,0,0,0,0,0,0
4,0,0.99850075,2.441176471,0,14.875,57.19815826,-0.605614973,0,14.07796325,168.1006031,0,0,0,0,0,0,0
5,0,0.9980015,2.592592593,0,12.53846154,337.3563232,0.03402654,0,13.77006291,201.9517471,0,0,0,0,0,0,0
6,0,0.997502499,-2.75,0,16.38461538,22.76876831,-0.429977883,0,14.20582165,172.0879173,0,0,0,0,0,0,0
7,0.142857143,0.997003748,11.3375,0,16.12820513,53.59304047,1.251090386,0,14.48044786,155.1600778,0,0,0,0,1,0,0
8,0.25,0.996505246,13.17307692,0,14.44,267.7668152,2.741338703,0,14.47539188,169.23592,0,0,0,0,1,0,0.5
9,0.222222222,0.996006993,-7.269230769,0,13.5,169.4173279,1.629053206,0,14.36701501,169.2560764,0,0,0,0,1,0,0.5
10,0.2,0.99550899,6.720588235,0,13.06060606,349.4750061,2.138206709,0,14.23637411,187.2779694,0,0,0,0,1,0,0.5
11,0.181818182,0.995011235,-7.875,0,14.18181818,124.7363205,1.22791519,0,14.23141448,181.5923649,0,0,0,0,1,0,0.5
12,0.166666667,0.994513729,3.339285714,0,13.74074074,54.34820175,1.403862734,0,14.190525,170.9886847,0,0,0,0,1,0,0.5
13,0.153846154,0.994016473,5.892857143,0.114928715,15.96296296,128.157608,1.749169996,0.00884067,14.32686638,167.6939865,0,0,0,0,1,0,0.5
14,0.214285714,0.993519464,14.10416667,0,16.7826087,459.5735168,2.631669758,0.008209194,14.50227655,188.5425243,0,0,0,0.25,1,0,0.5
15,0.2,0.993022705,6.379310345,0.13502963,12.85714286,447.7077332,2.881512464,0.01666389,14.39260097,205.8202049,0,0,0,0.25,0.5,0,0.5
