episode,win_rate_overall,epsilon,reward,q_value,ro28_points,loss,reward_smooth,q_value_smooth,ro28_points_smooth,loss_smooth,AAP_winrate,ACP_winrate,DAP_winrate,DCP_winrate,RP_winrate,R28P_winrate,SR28P_winrate
1,0.0,0.995,-1.1842105263157894,0.0,13.722222222222221,454.9351806640625,-1.1842105263157894,0.0,13.722222222222221,454.9351806640625,0.0,0,0,0,0,0,0
2,0.0,0.990025,5.826923076923077,0.0,11.04,781.4501342773438,2.3213562753036436,0.0,12.38111111111111,618.1926574707031,0.0,0,0,0,0.0,0,0
3,0.0,0.985074875,8.06578947368421,0.008742568,12.891891891891891,208.89373779296875,4.236167341430499,0.002914189361035824,12.551371371371369,481.7596842447917,0.0,0,0.0,0,0.0,0,0
4,0.0,0.9801495006250001,-14.75,0.0,12.909090909090908,485.686279296875,-0.5103744939271255,0.002185642020776868,12.640801255801254,482.7413330078125,0.0,0,0.0,0,0.0,0,0
5,0.0,0.9752487531218751,-6.25,0.0,15.0,439.4142150878906,-1.6582995951417003,0.0017485136166214942,13.112641004641002,474.07590942382814,0.0,0,0.0,0,0.0,0,0
6,0.0,0.9703725093562657,-7.595238095238095,-0.04010287,14.55,131.9198760986328,-2.6477893451577663,-0.005226716864854097,13.352200837200835,417.0499038696289,0.0,0.0,0.0,0,0.0,0,0
7,0.0,0.9655206468094844,4.82,0.0,15.875,981.3358154296875,-1.5809622958495138,-0.004480043027017798,13.712600717600717,497.6621769496373,0.0,0.0,0.0,0,0.0,0.0,0
8,0.0,0.960693043575437,4.166666666666667,0.0,13.0,750.445068359375,-0.8625086755349911,-0.003920037648640573,13.623525627900626,529.2600383758545,0.0,0.0,0.0,0,0.0,0.0,0
9,0.0,0.9558895783575597,3.240740740740741,0.0,14.538461538461538,988.0186767578125,-0.40659207372657646,-0.0034844779099027314,13.725185173518504,580.2332204182943,0.0,0.0,0.0,0,0.0,0.0,0
10,0.0,0.9511101304657719,-1.525,-0.018921096,15.473684210526315,98.79724884033203,-0.5184328663539188,-0.005028139706701041,13.900035077219286,532.089623260498,0.0,0.0,0.0,0,0.0,0.0,0
11,0.0,0.946354579813443,7.291666666666667,0.0,11.826086956521738,468.900390625,0.1915761821024981,-0.004571036097000946,13.711494338974056,526.3451475663619,0.0,0.0,0.0,0,0.0,0.0,0
